Chave,Título,URL
Cadeira,cadeira em Promoção no Magazine Luiza,https://www.magazineluiza.com.br/busca/cadeira/
Mesa,mesa em Promoção no Magazine Luiza,https://www.magazineluiza.com.br/busca/mesa/
Caneta,caneta em Promoção na Shopee Brasil 2024,https://shopee.com.br/search?keyword=caneta
Computador,Computadores com até 15% OFF no PIX,https://www.kabum.com.br/computadores
Celular,Celulares e Smartphones,https://www.magazineluiza.com.br/celulares-e-smartphones/l/te/
Livro,Livros | Amazon.com.br,https://www.amazon.com.br/Livros/b?ie=UTF8&node=6740748011
Óculos,Óculos de Grau - Kessy,https://www.kessy.com.br/oculos-de-grau
Python,Welcome to Python.org,https://www.python.org/
Fone de Ouvido,Fone De Ouvido: Promoções,https://www.americanas.com.br/busca/fone-de-ouvido
Bicicleta,Bicicleta,https://casasbahia.com.br/bicicleta/b
